Equipamento de armazenamento exclusivo para as vacinas,Notificações de Alterações de Temperatura em Equipamentos,Norma Municipal para Busca Ativa Vacinal,Sala de vacina climatizada,Sala de vacina dispõe de paredes e pisos laváveis e de fácil higienização,Controle pela ESF do acompanhamento das crianças de 0-1 ano de idade com vacinação em atraso,Equipes Completa nas UBS do Município,Como é registrada a data de abertura do frasco em vacinas multidose,Temperatura no painel do equipamento entre 2°C e 8°C,Documentos da designação formal do responsável técnico,Há controle de acesso por meio de chave ou senha à área das vacinas,Análise das Capacitações das Equipes de Vacinação,Registro/envio de Falta de Imunobiológicos e Insumos,Foi verificada a falta de quais vacinas listadas abaixo,A sala de vacina é utilizada exclusivamente para este fim,Fiscalização das Salas de Vacinas pelo Coordenador do PNI,Agentes da ESF realizaram busca ativa de crianças de 0-1 ano com vacinação em atraso em abril/2023,Atribuições dos Coordenadores do PNI em Regimento Interno,Marque quais dos itens abaixo estão FALTANDO na sala de vacina inspecionada,O equipamento de refrigeração está susceptível à luz solar direta,Tipos de equipamentos utilizados para estocagem das vacinas,Como é feito o registro da vacinação,Enfermeiro Substituto em Todas as UBS,Anotações diárias da temperatura em formulário próprio,Documentos da última supervisão realizada pela Gestão de saúde municipal nas salas de vacinação,Temperatura interna do equipamento está sendo monitorada por termômetro,Painel de exibição de temperatura funcional,Mnutenção dentro da data de validade,Registro de Perdas por Validade Expirada de Vacinas,Materiais perfurocortantes são descartados adequadamente,Mecanismo de proteção contra queda de energia,Quantitativo de crianças de 0-1 ano de idade com calendário vacinal em atraso em abril/2023,Turno Estendido nas Unidades Básicas de Saúde,A temperatura interna das caixas térmicas/isopor com vacinas está sendo monitorada continuamente,Quantitativo de crianças de 0-1 ano de idade cadastradas na UBS,Houve alteração anormal da temperatura do equipamento que armazena as vacinas,Equipamento mal conservado ou com problemas de funcionamento,Campanhas de Conscientização em Mídia pela UJ,Vacinação em Crianças de 0-6 Anos nas Escolas durante 2022/2023,Existem caixas térmicas/isopores sendo utilizadas para outras finalidades,Tomada elétrica é exclusiva do equipamento,Documentos da última manutenção nos equipamentos de refrigeração,Município,As seringas e agulhas estão em recipientes fechados e limpos,Calendário vacinal afixado em local visível,Cobertura Vacinal
1.0,1,0,0.9090909090909092,0.9090909090909092,0.0,0,1.0,0.9090909090909092,0.0,0.9090909090909092,0.5,0,1.0,0.9090909090909092,1,0.0,1.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.9090909090909092,0.0,1.0,1.0,0.0,0,1.0,0.0,0.0909090909090909,0.0,0.8181818181818182,1.0,0.8181818181818182,0.2727272727272727,0,0,1.0,1.0,0.1818181818181818,Paulista,1.0,0.7272727272727273,0.4550249999999999
1.0,1,0,0.6666666666666666,1.0,1.0,1,1.0,0.8888888888888888,0.0,1.0,0.5,0,0.7777777777777778,1.0,0,0.0,0.0,0.5555555555555556,0.7777777777777778,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,1,1.0,0.4444444444444444,0.0,0.0,0.8888888888888888,1.0,0.6666666666666666,0.7777777777777778,0,0,1.0,0.8888888888888888,0.0,Maraial,1.0,0.8888888888888888,0.8757250000000001
1.0,0,1,1.0,1.0,1.0,1,1.0,0.5,1.0,0.5,0.5,1,1.0,1.0,0,0.0,0.5,0.0,0.75,0.0,1.0,0.0,0.875,0.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.75,1,1,1.0,1.0,0.0,Alagoinha,0.75,0.75,0.807275
1.0,0,0,0.7142857142857143,0.8571428571428571,1.0,1,1.0,0.8571428571428571,0.0,1.0,0.0,0,1.0,0.8571428571428571,0,1.0,1.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.9285714285714286,0.0,0.9285714285714286,0.0,1.0,1.0,1.0,0,1.0,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.4285714285714285,0.7142857142857143,1,0,1.0,1.0,1.0,Buíque,0.7142857142857143,0.5714285714285714,0.965
1.0,1,0,1.0,0.8181818181818182,1.0,0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1,1.0,1.0,0.1818181818181818,1.0,0.0,0.5,1.0,1.0,0.3636363636363636,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9090909090909092,1.0,1,1,1.0,1.0,0.0,Limoeiro,1.0,1.0,0.95505
1.0,1,0,0.0,0.8888888888888888,0.0,1,1.0,1.0,0.0,0.5555555555555556,1.0,0,0.7777777777777778,1.0,0,0.0,0.5,0.0,0.8888888888888888,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0,1,1.0,1.0,0.0,Lajedo,0.6666666666666666,0.0,0.9331
1.0,1,0,0.7142857142857143,1.0,0.8571428571428571,1,1.0,0.8571428571428571,1.0,1.0,0.0,1,1.0,1.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8571428571428571,1,1.0,0.0,0.5714285714285714,0.0,1.0,1.0,0.8571428571428571,0.4285714285714285,1,1,1.0,1.0,1.0,Poção,1.0,0.7142857142857143,0.899375
1.0,1,0,1.0,0.4,0.0,1,0.8,1.0,1.0,0.8,0.5,0,0.6,1.0,0,0.8,0.5,0.0,1.0,0.2,0.8,0.5,0.6,0.0,1.0,1.0,0.2,0,1.0,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,0.8,0.0,Ibirajuba,0.6,0.0,1.1380249999999998
1.0,1,0,0.5,0.1,0.2,1,1.0,0.7,0.0,0.8,0.5,0,0.7,1.0,0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.85,0.0,1.0,1.0,0.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.8,1,1,1.0,1.0,0.0,Pesqueira,0.8,1.0,0.7316749999999999
1.0,1,0,0.9,0.5,1.0,1,1.0,0.9,1.0,0.9,1.0,1,0.9,0.9,0,0.0,0.5,0.0,0.8,0.0,1.0,1.0,0.95,1.0,1.0,1.0,0.9,1,1.0,0.0,0.0,0.0,1.0,1.0,0.2,0.9,0,0,0.9,1.0,1.0,Arcoverde,0.7,0.9,0.8240000000000001
