Município,Atribuições dos Coordenadores do PNI em Regimento Interno,Fiscalização das Salas de Vacinas pelo Coordenador do PNI,Equipes Completa nas UBS do Município,Análise das Capacitações das Equipes de Vacinação,Enfermeiro Substituto em Todas as UBS,Campanhas de Conscientização em Mídia pela UJ,Vacinação em Crianças de 0-6 Anos nas Escolas durante 2022/2023,Notificações de Alterações de Temperatura em Equipamentos,Registro de Perdas por Validade Expirada de Vacinas,Registro/envio de Falta de Imunobiológicos e Insumos,Turno Estendido nas Unidades Básicas de Saúde,Norma Municipal para Busca Ativa Vacinal,Cobertura Vacinal
Granito,0.0,0,1,0.5,0.0,1,0,1,1,0,0.0,0,0.91435
Ingazeira,0.5,0,1,0.5,0.0,0,0,1,1,1,0.0,0,1.236125
Moreilândia,0.0,0,1,0.0,1.0,1,0,0,0,0,0.0,0,1.2983000000000002
Santa Cruz do Capibaribe,0.0,0,1,0.5,1.0,0,1,1,1,1,0.0,0,1.03515
Panelas,0.5,0,1,0.0,0.0,1,0,0,0,0,0.0,0,1.1226
São Joaquim do Monte,0.5,0,1,0.5,1.0,1,0,1,1,1,0.5,0,0.844775
Serra Talhada,0.0,0,1,1.0,1.0,1,0,1,1,1,0.0,0,0.85875
Cabo de Santo Agostinho,0.5,0,0,0.5,0.0,1,1,1,0,1,0.0,0,0.6698999999999999
Exu,0.5,0,1,0.0,1.0,1,1,1,1,1,0.0,0,1.1116249999999999
São José do Belmonte,0.5,0,0,0.5,0.5,1,1,1,1,1,0.0,0,0.83395
Cortês,0.5,0,0,1.0,1.0,1,0,1,1,1,0.0,0,0.7755
Salgueiro,0.0,0,0,0.0,1.0,1,1,1,1,1,0.0,1,0.8730500000000001
Petrolândia,0.5,0,1,1.0,0.0,1,1,1,1,1,0.0,0,0.795
Correntes,1.0,1,1,0.5,1.0,1,1,0,1,1,1.0,0,0.7597499999999999
Escada,0.5,0,1,0.5,0.0,1,0,0,0,0,0.0,0,0.7222
Paudalho,0.5,0,1,1.0,1.0,1,1,1,1,1,0.0,0,0.966475
Terra Nova,0.5,0,0,0.5,0.0,1,1,1,1,0,0.0,0,1.1919499999999998
Parnamirim,0.5,1,1,0.0,0.0,1,1,1,0,0,0.0,0,0.88555
Pedra,0.5,1,1,1.0,0.0,1,0,1,0,0,0.0,0,0.87725
Venturosa,0.5,0,1,0.0,1.0,1,1,1,1,0,0.0,0,0.958
São Benedito do Sul,0.0,0,0,0.5,0.0,1,0,1,1,1,0.0,0,0.84775
Cupira,0.5,0,1,0.5,1.0,1,1,1,1,1,0.0,0,0.8319749999999999
Itapissuma,1.0,0,1,0.5,0.0,0,1,1,1,1,0.0,0,0.47695
Jatobá,0.0,0,1,1.0,0.0,1,1,1,1,1,1.0,1,1.131875
Betânia,0.5,0,1,0.0,0.0,1,1,1,1,0,0.0,0,0.95085
Bodocó,0.0,0,1,0.0,1.0,1,1,1,0,0,0.5,1,0.86795
Iguaracy,0.5,0,1,1.0,0.0,1,0,1,0,0,0.0,0,0.947075
Paranatama,1.0,0,1,1.0,1.0,1,0,1,1,1,0.0,1,0.820875
Catende,0.0,0,1,0.5,1.0,1,1,1,0,0,0.0,0,0.648625
Chã Grande,0.5,0,1,1.0,0.0,1,1,0,1,0,0.0,0,0.6135499999999999
Amaraji,0.5,0,1,1.0,1.0,1,0,0,0,0,0.0,1,0.8511
Itacuruba,0.5,0,1,0.5,0.0,1,1,1,1,1,0.0,0,0.87785
Belém do São Francisco,0.5,0,1,0.5,0.0,1,0,1,1,1,0.0,0,0.65405
Tacaratu,0.0,0,1,0.5,0.0,1,0,1,1,1,0.0,0,1.036425
Joaquim Nabuco,0.0,0,0,0.5,0.0,0,1,1,0,0,0.0,0,0.9743999999999999
São Lourenço da Mata,0.0,0,1,0.5,1.0,1,0,0,0,0,0.5,0,0.674825
Tacaimbó,0.5,0,1,0.5,0.0,1,0,1,1,0,0.0,0,0.7958
Abreu e Lima,0.5,0,1,0.5,0.0,1,0,1,1,0,0.5,0,0.2504
São Bento do Una,0.5,0,1,0.5,1.0,1,1,1,1,1,0.0,1,0.981125
Calçado,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0,0,1.05535
Santa Terezinha,0.5,0,0,0.0,0.0,0,0,0,0,1,0.0,0,1.364075
Agrestina,1.0,1,1,0.5,0.0,1,0,1,0,0,0.0,0,0.77385
Goiana,0.5,0,1,0.5,1.0,1,0,1,0,0,0.0,0,0.95015
Ferreiros,0.0,0,1,0.5,0.5,1,1,1,1,0,0.0,1,1.1016249999999999
Ipubi,0.5,0,1,0.5,1.0,1,0,1,0,0,0.0,1,0.993925
Santa Cruz,0.5,0,1,1.0,1.0,1,1,0,1,1,0.5,0,0.9026000000000001
Canhotinho,0.5,0,1,0.5,0.0,0,0,1,0,0,0.0,0,0.802925
Terezinha,0.0,0,1,1.0,1.0,1,1,1,1,1,0.0,0,1.0977
Santa Filomena,1.0,1,1,1.0,0.5,1,1,0,0,0,0.0,0,1.105025
Águas Belas,0.5,0,1,1.0,1.0,1,1,1,1,1,0.0,0,0.9605750000000001
Verdejante,0.5,0,0,1.0,0.0,1,1,1,1,1,0.0,0,0.75515
Macaparana,0.5,0,1,0.5,0.0,1,0,0,0,0,0.0,0,0.930825
Tabira,0.5,0,1,0.5,0.0,1,0,1,0,0,0.0,0,0.8344750000000001
Lagoa Grande,1.0,1,1,0.0,0.0,0,1,1,0,0,0.0,0,1.008725
Moreno,0.0,0,1,0.0,0.0,0,0,1,0,0,0.5,0,0.833475
Tamandaré,0.5,0,1,1.0,1.0,1,1,1,1,1,0.0,0,0.616
Cumaru,1.0,0,1,0.5,1.0,1,1,1,1,1,0.5,0,0.888725
Calumbi,0.0,0,1,0.0,0.0,1,0,1,1,1,1.0,0,1.6557749999999998
Itapetim,0.0,0,1,0.5,1.0,1,1,1,1,0,0.5,0,0.873625
Brejinho,1.0,0,1,1.0,0.5,1,1,1,1,1,0.0,0,0.9730500000000001
Garanhuns,0.0,0,1,0.0,0.0,1,1,1,0,0,0.0,0,0.7910249999999999
Jurema,0.0,0,1,0.0,0.0,1,1,1,0,0,0.0,0,0.862375
Manari,0.5,0,1,1.0,0.0,1,1,1,1,1,0.0,0,0.861525
Igarassu,1.0,1,1,0.5,0.0,1,1,1,0,0,0.0,0,0.711575
Itaíba,0.5,0,1,1.0,0.0,1,1,1,1,1,0.0,0,1.049225
Inajá,0.0,0,1,1.0,1.0,1,1,1,0,1,0.0,0,0.9023749999999999
Bezerros,0.5,0,1,0.5,1.0,1,0,1,0,1,0.0,0,0.634225
Vertente do Lério,0.5,0,1,0.5,0.5,1,0,0,1,1,0.0,0,0.870625
Palmeirina,0.5,0,1,0.5,0.0,0,1,1,1,1,0.0,0,0.8648
Tupanatinga,0.0,0,0,1.0,0.0,1,1,1,0,0,1.0,0,1.17315
Trindade,0.5,0,1,1.0,0.0,1,1,1,1,0,0.0,0,0.887625
Jataúba,0.5,0,1,1.0,0.0,0,0,1,1,1,0.0,0,0.662975
Água Preta,0.5,0,1,0.5,1.0,1,1,1,1,1,0.0,0,0.637325
Tuparetama,0.5,0,1,0.5,0.0,0,1,1,1,1,0.0,1,0.787325
