Município,PME,Alfabetização na idade certa,LOA para Alfabetização,Adesão ao Programa Criança Alfabetizada,Adesão ao Compromisso Nacional Criança Alfabetizada,Plano de Formação Continuada,Formação para Professores Alfabetizadores,Material Complementar Especifico,Avaliações,Monitoramento Sistemático dos Alunos 1o e 2o,SAEPE - Participação,SAEPE - Proficiência
Catende,1,0,0,1,1,0,0,1,0,0,0.76,0.52
Ibimirim,1,0,0,1,1,0,1,0,0,0,0.78,0.49
Tamandaré,0,0,0,0,0,0,0,1,0,0,0.8,0.53
Araçoiaba,1,0,0,0,1,0,0,0,0,0,0.92,0.54
Gameleira,1,0,0,1,1,0,0,1,0,0,0.72,0.54
Ingazeira,1,0,0,0,1,0,1,0,0,0,0.74,0.55
Macaparana,1,0,0,1,1,0,0,0,0,0,0.86,0.57
Tabira,1,0,0,0,1,0,0,0,0,0,0.87,0.58
Passira,1,0,0,1,1,0,0,0,0,0,0.79,0.63
Manari,1,0,0,0,1,0,0,1,0,0,0.72,0.56
Taquaritinga do Norte,1,0,0,0,1,0,0,0,0,0,0.92,0.52
Condado,1,0,0,0,1,0,0,1,0,0,0.76,0.5
São José do Egito,1,0,0,0,1,0,0,0,0,0,0.88,0.55
Cabo de Santo Agostinho,1,0,0,1,1,0,0,0,0,0,0.88,0.53
Itaquitinga,1,0,0,1,1,0,0,0,0,0,0.86,0.55
São José da Coroa Grande,1,0,0,1,1,0,0,0,0,0,0.9,0.5
Santa Cruz do Capibaribe,1,0,0,1,0,0.5,0,0,0,0,0.86,0.47
Nazaré da Mata,1,0,0,1,1,0,0,0,0,0,0.85,0.54
Timbaúba,1,0,0,1,1,0,0,0,0,0,0.83,0.56
Águas Belas,1,0,0,0,0,0,0,1,0,0,0.72,0.54
Escada,1,0,0,1,1,0,0,0,0,0,0.83,0.55
Bom Jardim,1,0,0,0,1,0,0,0,0,0,0.83,0.57
Palmeirina,1,0,0,1,0,0,0,0,0,0,0.74,0.66
Salgadinho,1,0,0,1,1,0,0,1,0,0,0.59,0.61
Cedro,1,0,0,1,1,0,1,0,0,1,0.53,0.5
Glória do Goitá,1,0,0,0,1,0,0,1,0,0,0.69,0.54
Trindade,1,0,0,1,0,0,0,0,0,0,0.9,0.5
